Models,layer,accuracy,f1,freq_diff
,8,0.9341266979204232,0.8828058169375534,0.138913624220837
,9,0.938093520855872,0.8904022132368589,0.1228851291184327
,10,0.9511960572184156,0.9124245038826576,0.1059661620658949
,11,0.9529991585527108,0.9142731857048892,0.1184327693677649
,12,0.952518331530232,0.9139246023098714,0.1059661620658949
,13,0.949993989662219,0.9119763013118916,0.0685663401602849
,14,0.9591297030893136,0.926183239253148,0.0863757791629563
,15,0.9516768842408944,0.9143222506393862,0.0810329474621549
,16,0.9537203990864288,0.9171508500107596,0.0774710596616207
,17,0.958288255799976,0.9248429716265972,0.0863757791629563
,18,0.959730736867412,0.9273791458920442,0.0756901157613535
,19,0.9605721841567496,0.9284467713787086,0.0943900267141585
,20,0.957206394999399,0.923308918569582,0.0774710596616206
,21,0.9552830869094844,0.9200343938091144,0.0801424755120213
,22,0.950354609929078,0.911770989104892,0.0819234194122884
,23,0.961894458468566,0.9303143548032534,0.0943900267141585
,24,0.948912128861642,0.909439590880034,0.0854853072128227
,25,0.9533597788195696,0.9167381974248928,0.0819234194122885
,26,0.957206394999399,0.9228769497400346,0.0872662511130899
,27,0.9484313018391634,0.9084311632870864,0.0908281389136241
,28,0.9537203990864288,0.9165402124430956,0.0997328584149599
,29,0.94963336939536,0.9100279149667168,0.0899376669634907
,30,0.95323957206395,0.9158190867777536,0.1032947462154941
,31,0.9493929558841206,0.9092085400043132,0.0979519145146927
,32,0.9537203990864288,0.9163225385785698,0.0961709706144255
,33,0.9451857194374323,0.9027718550106608,0.0845948352626891
,34,0.94602716672677,0.9037100579026378,0.0881567230632235
,35,0.9493929558841206,0.9074521872939108,0.1246660730186999
SmolLM3-3B-Base,0,0.6434490212561547,0.5423154000308309,0.0842945874001774
,1,0.8376366038189024,0.7329118925325958,0.1872227151730258
,2,0.908250270205356,0.8321616871704746,0.1810115350488021
,3,0.9331091629638524,0.8759189128981956,0.1668145519077195
,4,0.9519634922541133,0.9120492524186457,0.1330967169476486
,5,0.9542452263720428,0.9170476812540824,0.1082519964507542
,6,0.9555662303350546,0.9193548387096774,0.1126885536823425
,7,0.9548456827188664,0.918508885999133,0.0967169476486247
,8,0.9572475081061608,0.9225750326228797,0.0967169476486246
,9,0.9577278731836196,0.9241052177662784,0.0842945874001774
,10,0.9606100636483728,0.9286025250326512,0.087843833185448
,11,0.9505223970217364,0.9127118644067796,0.0763087843833185
,12,0.9589287858772668,0.9261976694000864,0.0727595385980479
