Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
,7,,0.9748867846850556,0.974820440848675,0.065274063325206,0.427970832451527
,8,,0.9763688760806916,0.9763532998269754,0.0528435599125967,0.3688676945293747
,9,,0.9771099217785096,0.977111806356002,0.0533278214138073,0.3782733054205383
,10,,0.9775216138328532,0.9774771058493524,0.0578076621305818,0.3974440784946949
,11,,0.9752161383285304,0.9751506645752496,0.0623279985826492,0.3958844237262591
,12,,0.9774392754219844,0.9774745149621836,0.0533008242569454,0.3961199672638913
,13,,0.9757101687937424,0.975633930783844,0.0588841737604508,0.3662838270653008
,14,,0.9757101687937424,0.9755693581780538,0.0555078418304072,0.3222728258817353
,15,,0.9743927542198436,0.9742741335098024,0.0486336907644413,0.2751747057736375
,16,,0.9737340469328942,0.97362546506821,0.0574718849921117,0.3367283083484511
,17,,0.9728283244133388,0.9727227640932384,0.0594224295753853,0.3555853102742023
,18,,0.972004940304652,0.9718403180387608,0.0590191595447604,0.3303069436506276
,19,,0.9724166323589954,0.9722705074083272,0.0565708548818452,0.3123689707686639
,20,,0.9722519555372582,0.9721095754365636,0.0625169786806826,0.3410242043814246
,21,,0.9716755866611776,0.9715467328370554,0.0669293265053023,0.3737093566778182
,22,,0.972004940304652,0.9719333003136866,0.0584809037298259,0.3374404578893504
,23,,0.9727459860024702,0.972669474031872,0.0565168605681214,0.3233031057020286
,24,,0.9719226018937834,0.9718111928577332,0.0594899224675401,0.3382346780038707
,25,,0.9726636475916016,0.9726027397260274,0.0604044511562376,0.3635937577426746
,26,,0.9728283244133388,0.9727722772277227,0.0608887126574483,0.3698381470600589
,27,,0.969534787978592,0.96936578903792,0.0674810808986678,0.3627628317278653
Qwen3-4B-Base,0,mean_pool,0.8503911074516262,0.8443149687259018,0.3048105360499097,0.741798291173797
,1,,0.8774804446274187,0.8741329724242937,0.2712345397920912,0.7217493079961379
,2,,0.8988884314532729,0.8967893763657757,0.2348915219499039,0.6752586314121696
,3,,0.91889666529436,0.9174557948546048,0.2113068144759046,0.6704991997904011
,4,,0.9289419514203376,0.9284944900157428,0.1834257207761105,0.6437676405453083
,5,,0.9407163441745574,0.9401794616151544,0.1589806956728423,0.5928837870437116
,6,,0.9421160971593248,0.9416549091210888,0.147540471942241,0.546598133442286
,7,,0.9461506792918896,0.9453634085213032,0.1552377137639216,0.5668810964474207
,8,,0.9510086455331412,0.950757262269304,0.1268384287478937,0.5172487061346382
,9,,0.9524083985179086,0.951921477291632,0.1351947138883675,0.5377237796480925
,10,,0.956278303828736,0.9562638991845812,0.1195713457408474,0.5407642634993848
,11,,0.9563606422396048,0.9563138806462248,0.1208542193777942,0.5445842833085379
,12,,0.9561959654178674,0.9557551563539588,0.1230778403386531,0.4921903336967141
,13,,0.9563606422396048,0.955958118663786,0.1198354432456463,0.4883415102301813
,14,,0.9594071634417456,0.9596463943685029,0.0773597612238439,0.3783224894408072
,15,,0.9576780568135036,0.9573302341026066,0.1045642051045245,0.425664280463065
,16,,0.9596541786743517,0.9597568988173456,0.0800311474996567,0.3700123880702084
,17,,0.9585014409221904,0.9581047381546136,0.1089662303322387,0.4510085143808742
,18,,0.9593248250308768,0.9593616321158276,0.1016287213239127,0.4811130753343295
,19,,0.9608892548373816,0.9607145810933752,0.092218447050651,0.410022295068198
,20,,0.9592424866200082,0.9590401323955317,0.0967261112802847,0.4215580034059192
,21,,0.9594071634417456,0.9592056268100952,0.0979913784169115,0.4282884704469785
,22,,0.961794977356937,0.9618295491938138,0.0951263206375793,0.4842342440104894
,23,,0.9582544256895842,0.9579497387409804,0.1019280318293514,0.4272331809719656
,24,,0.9578427336352408,0.9577557755775578,0.0972971220974783,0.4349038852186515
,25,,0.9536434746809388,0.95376529522871,0.0959790354598918,0.437031643585601
,26,,0.9527377521613832,0.9526871084734586,0.0999685083732914,0.4263168228204468
,27,,0.9514203375874846,0.9513682822288164,0.1044409596022851,0.4426747726558711
