model,layer,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_n,high_freq_accuracy,hf_precision,hf_recall,hf_f1,hf_auc,hf_n,low_freq_accuracy,lf_precision,lf_recall,lf_f1,lf_auc,lf_n,accuracy_difference,cohens_h,z_statistic,p_value,p_value_corrected,significant_fdr,n_high,n_low
,8,0.983202964182791,0.97894221351616,0.987648221343873,0.983275946876537,0.998602030044211,12145,0.996880848409232,1,0.996880848409232,0.998437988128709,,1603,0.962796664528544,1,0.962796664528544,0.981045751633986,,1559,0.0340841838806886,0.276439345820984,6.72985858834605,1.6982859563086e-11,1.81150502006251e-11,True,1603,1559
,9,0.984355701934952,0.981973123566043,0.986824769433465,0.984392968621652,0.998641921292695,12145,0.998752339363693,1,0.998752339363693,0.999375780274656,,1603,0.959589480436177,1,0.959589480436177,0.97937806873977,,1559,0.039162858927516,0.334146462820076,7.6338745669896,2.28705943072782e-14,4.57411886145564e-14,True,1603,1559
,10,0.984108686702346,0.981175315108855,0.987154150197628,0.9841556522453,0.998715764847842,12145,0.998752339363693,1,0.998752339363693,0.999375780274656,,1603,0.959589480436177,1,0.959589480436177,0.97937806873977,,1559,0.039162858927516,0.334146462820076,7.6338745669896,2.28705943072782e-14,4.57411886145564e-14,True,1603,1559
,11,0.985837793330588,0.986317177711836,0.985342555994729,0.985829625968034,0.998652497490458,12145,0.995009357454772,1,0.995009357454772,0.997498436522826,,1603,0.95638229634381,1,0.95638229634381,0.977704918032786,,1559,0.0386270611109621,0.27938798458312,6.97406354205429,3.0790925364954e-12,3.78965235260973e-12,True,1603,1559
,12,0.98575545491972,0.985035356026969,0.986495388669301,0.985764831728791,0.998715941117805,12145,0.996257018091079,1,0.996257018091079,0.998125,,1603,0.96023091725465,1,0.96023091725465,0.979712041884816,,1559,0.0360261008364288,0.279099523118319,6.85929135405025,6.92024215709352e-12,7.80445440074706e-12,True,1603,1559
,13,0.985590778097982,0.985030432636946,0.986166007905138,0.985597893177516,0.998750991721928,12145,0.996880848409232,1,0.996880848409232,0.998437988128709,,1603,0.958948043617703,1,0.958948043617703,0.979043876882776,,1559,0.0379328047915289,0.296293825050209,7.17739869859924,7.105427357601e-13,1.03351670656014e-12,True,1603,1559
,14,0.985261424454508,0.985340141657058,0.985177865612648,0.985258996952977,0.998838096201962,12145,0.995633187772925,1,0.995633187772925,0.99781181619256,,1603,0.95638229634381,1,0.95638229634381,0.977704918032786,,1559,0.0392508914291156,0.288534630987839,7.13451545722847,9.71223101942087e-13,1.35126692444116e-12,True,1603,1559
,15,0.98328530259366,0.978789362049273,0.987977602108036,0.983362019506597,0.998621514654705,12145,0.996880848409232,1,0.996880848409232,0.998437988128709,,1603,0.963438101347017,1,0.963438101347017,0.981378634433191,,1559,0.0334427470622152,0.273035989540679,6.65275902145859,2.87649903896181e-11,2.96928933054122e-11,True,1603,1559
,16,0.982955948950185,0.97940166748406,0.986660079051383,0.983017474772335,0.998550193115947,12145,0.995633187772925,1,0.995633187772925,0.99781181619256,,1603,0.96215522771007,1,0.96215522771007,0.9807126511932,,1559,0.0334779600628551,0.259311392217385,6.45909825555242,1.05328634703028e-10,1.05328634703028e-10,True,1603,1559
,17,0.981226842321943,0.976983349657198,0.985671936758893,0.981308411214953,0.998374967213786,12145,0.996257018091079,1,0.996257018091079,0.998125,,1603,0.959589480436177,1,0.959589480436177,0.97937806873977,,1559,0.0366675376549021,0.282369351916901,6.93393261246629,4.0929482025831e-12,4.85090157343182e-12,True,1603,1559
