Models,layer,r2,rmse,spearman_r,spearman_p,best_alpha,n_train,n_test
,1,0.7278839349746704,1.260939129872078,0.8606793436570893,0.0,100.0,21991,4713
,2,0.7748194932937622,1.147050292212059,0.8892639441631475,0.0,100.0,21991,4713
,3,0.8223159313201904,1.018922704555894,0.9132220112966518,0.0,100.0,21991,4713
,4,0.8411502838134766,0.963408015836582,0.921068906926632,0.0,100.0,21991,4713
,5,0.8557348251342773,0.918116521101532,0.927206780824766,0.0,100.0,21991,4713
,6,0.8632005453109741,0.8940446354648923,0.9303717324450488,0.0,100.0,21991,4713
,7,0.8686434626579285,0.8760782138187807,0.9323161776394754,0.0,100.0,21991,4713
,8,0.8696750402450562,0.8726313752238077,0.9323362653151928,0.0,100.0,21991,4713
,9,0.8703990578651428,0.8702041120170314,0.934275738588692,0.0,100.0,21991,4713
,10,0.8732015490531921,0.8607440447284146,0.9351518145151492,0.0,100.0,21991,4713
,11,0.8715248107910156,0.8664164165041383,0.9346655857888144,0.0,100.0,21991,4713
,12,0.8709847927093506,0.8682353244708819,0.934357333973931,0.0,100.0,21991,4713
,13,0.8731814622879028,0.8608121818819415,0.935218484747638,0.0,100.0,21991,4713
,14,0.8719852566719055,0.8648624008083602,0.9349934249533388,0.0,100.0,21991,4713
,15,0.8719618916511536,0.8649413428511676,0.9349324743051534,0.0,100.0,21991,4713
,16,0.8677397966384888,0.8790865564834773,0.9339229816858552,0.0,100.0,21991,4713
,17,0.868733823299408,0.8757768316097914,0.9329431515895754,0.0,100.0,21991,4713
,18,0.866631031036377,0.882763717788939,0.9325453794987734,0.0,100.0,21991,4713
,19,0.8640699982643127,0.8911990942200487,0.9318612200407872,0.0,100.0,21991,4713
,20,0.8623940944671631,0.8966761365258082,0.9303486881354128,0.0,100.0,21991,4713
,21,0.8606359958648682,0.9023859914164948,0.9292340510799204,0.0,100.0,21991,4713
,22,0.8569146394729614,0.9143545548192958,0.9265162365060132,0.0,100.0,21991,4713
,23,0.8551124930381775,0.92009469451975,0.9254775498781188,0.0,100.0,21991,4713
,24,0.8541693687438965,0.923084306381726,0.9253362359543532,0.0,100.0,21991,4713
,25,0.8545258641242981,0.921955460738666,0.925721980638525,0.0,100.0,21991,4713
,26,0.8538631200790405,0.9240531405406124,0.9246138724701964,0.0,100.0,21991,4713
,27,0.8527746200561523,0.9274882100427864,0.9243104643313704,0.0,100.0,21991,4713
,28,0.8519414663314819,0.9301087202593754,0.9229874441924836,0.0,100.0,21991,4713
,29,0.8502248525619507,0.9354852325582832,0.922450369649606,0.0,100.0,21991,4713
,30,0.846845269203186,0.9459806240750857,0.920763526496644,0.0,100.0,21991,4713
,31,0.8268066048622131,1.005964669947669,0.9109039547478772,0.0,100.0,21991,4713
Qwen3-8B-Base,0,0.4511657953262329,1.790760949850788,0.6806394239410287,0.0,100.0,21991,4713
,1,0.5715610980987549,1.58220040629708,0.763456985931294,0.0,100.0,21991,4713
,2,0.621174693107605,1.487772536755625,0.8003266195203955,0.0,0.1,21991,4713
,3,0.6203224658966064,1.489445108611722,0.8190493339460716,0.0,0.1,21991,4713
,4,0.6787184476852417,1.370124278522612,0.8444601459852866,0.0,0.1,21991,4713
,5,0.7045669555664062,1.313852476193863,0.8609765846100664,0.0,0.1,21991,4713
,6,0.7205231189727783,1.277879748329909,0.8738919004498467,0.0,0.1,21991,4713
,7,0.7492424845695496,1.210442127916403,0.8836871434566576,0.0,0.1,21991,4713
,8,0.7680330276489258,1.164206732704684,0.8910089630728254,0.0,0.1,21991,4713
,9,0.7783199548721313,1.138099749147277,0.8945037169482836,0.0,0.1,21991,4713
,10,0.7862370014190674,1.117592158091127,0.8987431417711088,0.0,0.1,21991,4713
,11,0.7907199859619141,1.105810968383218,0.900834165743892,0.0,0.1,21991,4713
,12,0.796245813369751,1.091114356316037,0.9028146645653494,0.0,0.1,21991,4713
,13,0.7983176708221436,1.085552943357875,0.9047261441632418,0.0,0.1,21991,4713
,14,0.8028959035873413,1.073160878260982,0.905166564591804,0.0,0.1,21991,4713
,15,0.8007869720458984,1.078887006738577,0.9044940900600056,0.0,0.1,21991,4713
,16,0.8032955527305603,1.072072440777885,0.9045937285235648,0.0,0.1,21991,4713
,17,0.8011569976806641,1.077884426089441,0.9049541430017992,0.0,0.1,21991,4713
,18,0.8019914031028748,1.075620534245886,0.9049432299237552,0.0,0.1,21991,4713
,19,0.8039237260818481,1.070359277747184,0.9046827698821444,0.0,0.1,21991,4713
,20,0.8046365976333618,1.068411817082986,0.9056566609380432,0.0,0.1,21991,4713
,21,0.802726686000824,1.073621549195058,0.9043149448785254,0.0,0.1,21991,4713
,22,0.8026527166366577,1.073822725295627,0.9048809933978724,0.0,0.1,21991,4713
,23,0.8014072179794312,1.077205984976794,0.904349445064868,0.0,0.1,21991,4713
,24,0.793287992477417,1.099005687591303,0.899823842154004,0.0,0.1,21991,4713
,25,0.7876428365707397,1.113911018933926,0.8971785503620637,0.0,0.1,21991,4713
,26,0.7845980525016785,1.121868278036992,0.8950436756899255,0.0,0.1,21991,4713
,27,0.7760295271873474,1.14396419082964,0.8904467518975231,0.0,0.1,21991,4713
,28,0.7733920812606812,1.150680168772883,0.889413316979362,0.0,0.1,21991,4713
,29,0.7651264667510986,1.171477797268129,0.8853264530452282,0.0,0.1,21991,4713
,30,0.7597520351409912,1.184805070803375,0.8856989899879808,0.0,1.0,21991,4713
