Models,layer,accuracy,f1,auc,n_matched_pairs
,31,0.9483643361128928,0.9480142072973846,0.9848922908675278,10393
,32,0.95349583066068,0.9527225301597652,0.9874333516698958,10393
,33,0.9483643361128928,0.9479806138933764,0.9850404096966814,10393
,34,0.9464400256574728,0.9459721772889031,0.9849396066046188,10393
,35,0.940987812700449,0.940530058177117,0.9841216615147372,10393
Llama-3.1-8B,0,0.8858242463117383,0.8806970509383378,0.9524209405463364,10393
,1,0.9390635022450288,0.9387096774193548,0.984941252369387,10393
,2,0.9599101988454136,0.9597423510466988,0.9903167315440852,10393
,3,0.9660038486209108,0.965894465894466,0.9932885712745748,10393
,4,0.972097498396408,0.9717990275526742,0.9943550268444806,10393
,5,0.9753046824887748,0.9751532752500808,0.995702496748586,10393
,6,0.9743425272610649,0.9743918053777209,0.9959444241695368,10393
,7,0.974021808851828,0.97408,0.9960476959087522,10393
,8,0.9743425272610649,0.974243399871217,0.9957226573669984,10393
,9,0.9743425272610649,0.9742599742599742,0.9959032800503276,10393
,10,0.9737010904425916,0.9735994848679974,0.994537295292578,10393
,11,0.9762668377164848,0.9761904761904762,0.9961166123084276,10393
,12,0.9788325849903784,0.9787371134020618,0.996474360424953,10393
,13,0.9756254008980116,0.9755154639175256,0.9960684736889528,10393
,14,0.9778704297626684,0.9778063686072692,0.9961398587357811,10393
,15,0.9785118665811418,0.9783940664301838,0.9963282988017598,10393
,16,0.9727389352148812,0.9727126805778492,0.995980630994441,10393
,17,0.9724182168056448,0.9722938144329896,0.995720600161038,10393
,18,0.9743425272610649,0.9740932642487048,0.9958275748709824,10393
,19,0.9727389352148812,0.9725894872621736,0.995499244799692,10393
,20,0.9733803720333548,0.9732171668280092,0.9952515572020516,10393
,21,0.973059653624118,0.9729381443298968,0.994961696882222,10393
,22,0.9724182168056448,0.9722759509993552,0.9949051237183092,10393
,23,0.9685695958948044,0.9683870967741935,0.9945874911180131,10393
,24,0.9733803720333548,0.973268921095008,0.9952811809678824,10393
,25,0.971135343168698,0.9707981829980532,0.9949849433095752,10393
,26,0.973059653624118,0.9729206963249516,0.9951750291403224,10393
,27,0.9724182168056448,0.9723116548615582,0.9947026946517994,10393
,28,0.9717767799871712,0.971812940422806,0.9952540258492044,10393
,29,0.9733803720333548,0.973354735152488,0.9954947189465788,10393
,30,0.9753046824887748,0.975217251367879,0.9948504020397608,10393
,31,0.9717767799871712,0.9717948717948718,0.9950153899577904,10393
Qwen3-8B-Base,0,0.8460551635663887,0.8429319371727748,0.9254291640214428,10393
,1,0.8970493906350224,0.8954737870400521,0.9581054120562968,10393
,2,0.8957665169980756,0.8931272607694837,0.961393650063506,10393
,3,0.9143681847338038,0.911384002655161,0.9699750790069948,10393
,4,0.9159717767799872,0.9130723291307232,0.9720608801303118,10393
,5,0.9355355997434252,0.9324823647967752,0.9825553048964382,10393
,6,0.9448364336112892,0.9446233097231166,0.983869859505176,10393
,7,0.9474021808851828,0.9471649484536082,0.9867692855858574,10393
,8,0.9470814624759462,0.9463763405914852,0.98611920850235,10393
,9,0.9480436177036562,0.94770819883796,0.9873551778433982,10393
,10,0.950288646568313,0.9503045848028214,0.9882936752025628,10393
,11,0.9550994227068632,0.9546044098573282,0.9893136379177618,10393
,12,0.9512508017960232,0.951592356687898,0.9884928127395358,10393
,13,0.9486850545221296,0.9483204134366924,0.9870552372143622,10393
,14,0.9512508017960232,0.9507453013609852,0.9879262582180236,10393
,15,0.9512508017960232,0.951219512195122,0.987112427540063,10393
,16,0.950288646568313,0.9496262593435164,0.9873004561648496,10393
,17,0.9515715202052598,0.9512431385211496,0.9893169294472988,10393
,18,0.9570237331622836,0.956802063185042,0.9893852286851862,10393
,19,0.950288646568313,0.9506212169480728,0.9881661284330138,10393
,20,0.9550994227068632,0.9544270833333334,0.9887993364276454,10393
,21,0.9515715202052598,0.9512431385211496,0.9872807069876292,10393
,22,0.9560615779345736,0.9552726085537055,0.9887507863669784,10393
,23,0.9515715202052598,0.9507983056370152,0.9897703376409854,10393
,24,0.9528543938422064,0.9522572263721988,0.988352922734224,10393
,25,0.9496472097498396,0.9484739087627174,0.9876617015315076,10393
,26,0.9435535599743424,0.9436258808456118,0.9832765613061776,10393
,27,0.9448364336112892,0.9446233097231166,0.9847688585099,10393
,28,0.9467607440667094,0.9464516129032258,0.9855135670675886,10393
,29,0.9474021808851828,0.9472668810289387,0.9846960334188992,10393
,30,0.9416292495189224,0.9413281753707284,0.9849087485152116,10393
,31,0.9438742783835792,0.9437118044387264,0.9842031268707716,10393
,32,0.9435535599743424,0.9431524547803618,0.9854271644172492,10393
,33,0.9470814624759462,0.9468256525942635,0.9846273227398198,10393
,34,0.936818473380372,0.936757624398074,0.9821586755872602,10393
,35,0.9400256574727388,0.938668415874057,0.9818984390332616,10393
Qwen2.5-3B,0,0.8432055749128919,0.8380462724935732,0.9261365170817928,13391
,1,0.8917371826779492,0.8909501128102282,0.9553787448765276,13391
,2,0.9121453459432554,0.9107007336200356,0.9692538380671746,13391
,3,0.9171229467396714,0.9153318077803204,0.9717148887745316,13391
,4,0.9218516674962668,0.9207470974255426,0.974519341906171,13391
,5,0.9260826281732204,0.9251700680272108,0.9756657510094572,13391
,6,0.9258337481333996,0.925796812749004,0.9760393807755592,13391
,7,0.9285714285714286,0.928624720218851,0.978756868358192,13391
,8,0.9300647088103534,0.9295915810573792,0.9801755713029544,13391
,9,0.9385266301642607,0.93801756587202,0.9829304714152168,13391
,10,0.9417620706819312,0.9415876185721418,0.9847517926424172,13391
,11,0.9474863115978098,0.9473421512353382,0.9860318710154726,13391
,12,0.9457441513190642,0.9455272363818092,0.9866464523382954,13391
,13,0.9464907914385268,0.9465838509316772,0.9871214180290238,13391
,14,0.9479840716774516,0.9484841015528716,0.9873074896167844,13391
,15,0.9492284718765556,0.9493293591654248,0.9886082563754296,13391
,16,0.9464907914385268,0.9459663231967832,0.986888271072855,13391
,17,0.9527127924340468,0.9528067560854446,0.9894846015231112,13391
,18,0.954952712792434,0.9546024579884624,0.988498620320058,13391
,19,0.9564459930313588,0.9564134495641344,0.9891464021658636,13391
,20,0.9534594325535092,0.9535172756649268,0.9895185453413844,13391
,21,0.9529616724738676,0.9526671675432006,0.989167586081647,13391
,22,0.9559482329517172,0.9556946182728412,0.9887649677992092,13391
,23,0.9556993529118964,0.9556993529118964,0.9889353063033174,13391
,24,0.954952712792434,0.954941498630819,0.989087186307708,13391
,25,0.9504728720756596,0.9505835609634964,0.9881539790702912,13391
,26,0.9532105525136884,0.953023488255872,0.9875453441097936,13391
,27,0.9554504728720756,0.9553504614617112,0.989090035606322,13391
,28,0.9539571926331508,0.9540372670807452,0.9880661463434454,13391
,29,0.956197112991538,0.955955955955956,0.9875545114183784,13391
,30,0.952463912394226,0.9521183253948358,0.9885079115111912,13391
,31,0.9489795918367347,0.948685857321652,0.9879515549861364,13391
,32,0.9492284718765556,0.9485887096774194,0.987471510110922,13391
,33,0.9440019910403186,0.9436231520922076,0.984481233156619,13391
,34,0.9440019910403186,0.9437640589852536,0.9834106401729796,13391
,35,0.9342956694873072,0.934065934065934,0.9808254591520832,13391
SmolLM3-3B-Base,0,0.7832254853160776,0.7716906946264744,0.8600060306024582,13391
,1,0.8872573419611747,0.8862094951017332,0.95549147799561,13391
,2,0.9198606271777005,0.9197807673143996,0.9725302837083796,13391
,3,0.9380288700846192,0.9380442896242848,0.9827522044280084,13391
,4,0.9467396714783476,0.9459868753154972,0.9877665983413118,13391
,5,0.9502239920358388,0.9499749874937468,0.9886226267510488,13391
,6,0.9502239920358388,0.9503475670307844,0.9884083099422434,13391
,7,0.9489795918367347,0.9493201483312732,0.9868491241875472,13391
,8,0.95370831259333,0.95375435106912,0.9890589410866631,13391
,9,0.9539571926331508,0.9539686489176412,0.990226286340636,13391
,10,0.9544549527127923,0.954624349119762,0.9904536108170277,13391
,11,0.954952712792434,0.9548064918851435,0.9894821238721424,13391
,12,0.9559482329517172,0.9556502129792032,0.990336913456395,13391
,13,0.9584370333499254,0.9584473749688978,0.9918534836144268,13391
,14,0.9594325535092084,0.9592601849537616,0.9927640203454788,13391
,15,0.958934793429567,0.9588631264023936,0.99217136623373,13391
,16,0.9629168740667,0.962907642519293,0.9933432951419952,13391
,17,0.9594325535092084,0.9595232182766328,0.9918378744133232,13391
,18,0.9619213539074166,0.9615094339622642,0.9941396121633832,13391
,19,0.9599303135888502,0.960118900173396,0.9934827868915416,13391
,20,0.9594325535092084,0.9591581057379104,0.9921027353018932,13391
,21,0.9604280736684918,0.959858621560212,0.99281481219034,13391
,22,0.9594325535092084,0.958744621614781,0.99256110073113,13391
,23,0.9517172722747635,0.9509853461344112,0.9910408140966448,13391
,24,0.9571926331508211,0.9567186713638652,0.9916064618128329,13391
,25,0.9554504728720756,0.955036423009294,0.9904159505223012,13391
,26,0.9489795918367347,0.9483236702798084,0.9894127496450144,13391
,27,0.9529616724738676,0.9522847765715728,0.989802979672608,13391
,28,0.9522150323544052,0.9516372795969772,0.9887095923000556,13391
