Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
,22,0.9602356406480118,0.965736661771904,0.9554479418886198,0.9605647517039922,0.992574335586712,13768,13391
,23,0.9570446735395188,0.9777553083923156,0.9365617433414044,0.9567153104130596,0.9916901786994844,13768,13391
,24,0.958271968581247,0.9588377723970944,0.9588377723970944,0.9588377723970944,0.9914138194107148,13768,13391
,25,0.9585174275895926,0.9579710144927536,0.9602905569007264,0.9591293833131802,0.9908913521116236,13768,13391
,26,0.9555719194894452,0.9747983870967742,0.9365617433414044,0.9552976043467524,0.9928296033466832,13768,13391
,27,0.9540991654393716,0.9690309690309692,0.9394673123486684,0.9540201622817802,0.9906416284106508,13768,13391
Qwen3-4B-Base,0,0.8440860215053764,0.873989218328841,0.8091079226450405,0.8402980239714933,0.917604979758527,10686,10393
,1,0.8861480075901328,0.9118621603711068,0.8583905177791641,0.884318766066838,0.9504108917012162,10686,10393
,2,0.9054395951929158,0.9244791666666666,0.8858390517779164,0.9047467346288628,0.9665916656429552,10686,10393
,3,0.9130297280202404,0.940318302387268,0.8845913911416095,0.9116039858566376,0.9702708239882164,10686,10393
,4,0.931056293485136,0.955892034233048,0.9058016219588272,0.9301729660474056,0.9788253823311568,10686,10393
,5,0.9411764705882352,0.9676567656765676,0.9145352464129756,0.9403463758819756,0.981367520888712,10686,10393
,6,0.944022770398482,0.9450686641697876,0.944479101684342,0.944773790951638,0.9841501482347282,10686,10393
,7,0.9468690702087288,0.9650032404407,0.9288833437305052,0.9465988556897648,0.986002031950196,10686,10393
,8,0.9493991144845034,0.9694209499024072,0.9295071740486588,0.9490445859872612,0.9856703094782592,10686,10393
,9,0.9500316255534472,0.9598981540420116,0.940736119775421,0.9502205419029616,0.9849120295212992,10686,10393
,10,0.9490828589500316,0.9633676092544988,0.93512164691204,0.94903450459006,0.9849060273052812,10686,10393
,11,0.9506641366223908,0.9593650793650792,0.9426076107298814,0.9509125235997484,0.9862889378758638,10686,10393
,12,0.9519291587602784,0.9714100064977258,0.932626325639426,0.9516231699554424,0.9865382299144844,10686,10393
,13,0.9516129032258064,0.9659383033419024,0.9376169681846538,0.9515669515669516,0.98729610972371,10686,10393
,14,0.952877925363694,0.9532418952618454,0.9538365564566438,0.9535391331462426,0.9879111367917034,10686,10393
,15,0.9506641366223908,0.9701104613385316,0.9313786650031192,0.9503500954805856,0.9873883437765224,10686,10393
,16,0.9535104364326376,0.9527363184079602,0.9557080474111042,0.9542198691996264,0.9871480550619288,10686,10393
,17,0.9516129032258064,0.9623724489795918,0.9413599500935744,0.9517502365184484,0.9868731535682974,10686,10393
,18,0.9576217583807716,0.9610797237915882,0.9550842170929508,0.958072590738423,0.988033581998474,10686,10393
,19,0.9535104364326376,0.9684684684684683,0.9388646288209608,0.9534368070953436,0.9884809471656936,10686,10393
,20,0.954775458570525,0.9697554697554698,0.9401122894572675,0.9547038327526132,0.9874973840341854,10686,10393
,21,0.9538266919671096,0.9764551994767822,0.9313786650031192,0.9533844189016604,0.987627432047912,10686,10393
,22,0.9550917141049968,0.9608832807570978,0.950093574547723,0.9554579673776662,0.9878329079096,10686,10393
,23,0.9573055028462998,0.9717223650385604,0.9432314410480348,0.9572649572649572,0.9889703278450404,10686,10393
,24,0.9560404807084124,0.9692307692307692,0.9432314410480348,0.9560543787543472,0.9887730550119104,10686,10393
,25,0.9522454142947502,0.9653846153846154,0.9394884591391142,0.9522605121719886,0.9884673421427193,10686,10393
,26,0.9538266919671096,0.9649010848755584,0.9432314410480348,0.9539432176656152,0.9883581018111884,10686,10393
,27,0.9522454142947502,0.9641943734015346,0.940736119775421,0.9523208083359648,0.9871280476752016,10686,10393
,28,0.9522454142947502,0.9677835051546392,0.9369931378665004,0.9521394611727416,0.9870736275833036,10686,10393
,29,0.9535104364326376,0.9625158831003812,0.9451029320024952,0.9537299338999056,0.9870804300947912,10686,10393
,30,0.9531941808981658,0.9666452854393842,0.9401122894572675,0.9531941808981658,0.9866466699505456,10686,10393
,31,0.9487666034155596,0.958041958041958,0.9401122894572675,0.948992443324937,0.98567831243295,10686,10393
,32,0.9478178368121444,0.9556400506970848,0.940736119775421,0.9481295190191764,0.984497476468312,10686,10393
,33,0.9519291587602784,0.9647661755285074,0.9394884591391142,0.9519595448798988,0.9867839206234942,10686,10393
,34,0.9487666034155596,0.9597957881301852,0.9382407985028072,0.9488958990536278,0.985965218358618,10686,10393
,35,0.9452877925363694,0.9654947916666666,0.9251403618215844,0.9448869066581714,0.9841017303588484,10686,10393
Llama-3.1-8B,0,0.8912080961416825,0.9326460481099657,0.8465377417342483,0.8875081752779594,0.9559121227557216,10686,10393
,1,0.9326375711574952,0.9664429530201344,0.8983156581409857,0.9311348205625606,0.9839536756970672,10686,10393
,2,0.954775458570525,0.974025974025974,0.9357454772301934,0.9545020680878142,0.9915576830965992,10686,10393
,3,0.9639468690702088,0.9787781350482316,0.9494697442295696,0.9639012032932236,0.9923859889071046,10686,10393
,4,0.9702719797596456,0.9808795411089866,0.9600748596381784,0.9703656998738966,0.9938303221549396,10686,10393
,5,0.9690069576217584,0.9753632343651296,0.9631940112289458,0.9692404268675456,0.9939657721630826,10686,10393
,6,0.9705882352941176,0.9790609137055838,0.9625701809107924,0.9707455174583204,0.9945783983446688,10686,10393
,7,0.967741935483871,0.981398332264272,0.9544603867747972,0.967741935483871,0.9945627925830216,10686,10393
,8,0.9690069576217584,0.9789942711648632,0.9594510293200248,0.9691241335853812,0.9944059346710806,10686,10393
,9,0.9715370018975332,0.9725171767645222,0.9713038053649408,0.9719101123595506,0.9955659629535224,10686,10393
,10,0.969955724225174,0.9814814814814816,0.9588271990018716,0.9700220889870622,0.9949321289420052,10686,10393
,11,0.9753320683111956,0.9786566227244192,0.9725514660012476,0.9755944931163956,0.9957288230814816,10686,10393
,12,0.9721695129664768,0.9834077855775368,0.9613225202744854,0.9722397476340694,0.9955799681242314,10686,10393
,13,0.9721695129664768,0.9785217940619078,0.966313162819713,0.9723791588198368,0.9955835694538424,10686,10393
,14,0.97438330170778,0.9804292929292928,0.9688084840923268,0.9745842485095702,0.9954799311905956,10686,10393
,15,0.9683744465528148,0.9801916932907347,0.9569557080474111,0.9684343434343434,0.9936628603280332,10686,10393
,16,0.9712207463630612,0.9760705289672544,0.9669369931378664,0.9714822939517392,0.9951998277764152,10686,10393
,17,0.9705882352941176,0.9796696315120712,0.9619463505926388,0.9707271010387156,0.9946944411876866,10686,10393
,18,0.9702719797596456,0.9766266582438408,0.9644416718652526,0.970495919648462,0.994594004106316,10686,10393
,19,0.9680581910183428,0.9717336683417084,0.965065502183406,0.9683881064162756,0.993874138331872,10686,10393
,20,0.9664769133459836,0.9758423394787032,0.9575795383655644,0.966624685138539,0.993854130945145,10686,10393
,21,0.9648956356736242,0.9733502538071066,0.9569557080474111,0.9650833595470274,0.993526409950554,10686,10393
,22,0.9674256799493992,0.9746835443037974,0.960698689956332,0.9676405906377632,0.9938061132169996,10686,10393
,23,0.9686907020872866,0.9777636594663278,0.9600748596381784,0.9688385269121812,0.9935740275309644,10686,10393
,24,0.9690069576217584,0.9796048438495856,0.9588271990018716,0.9691046658259772,0.9933659507090016,10686,10393
,25,0.9686907020872866,0.979591836734694,0.958203368683718,0.9687795648060548,0.9940578061420275,10686,10393
,26,0.9686907020872866,0.976552598225602,0.9613225202744854,0.9688777114115058,0.993799710853247,10686,10393
,27,0.9683744465528148,0.9759341355288156,0.9613225202744854,0.968573224387178,0.9938045126260616,10686,10393
,28,0.969639468690702,0.9772007599746676,0.9625701809107924,0.9698302954116907,0.9945751971627924,10686,10393
,29,0.9690069576217584,0.9741650913673598,0.9644416718652526,0.9692789968652038,0.9947560639388064,10686,10393
,30,0.9683744465528148,0.9783577339274347,0.9588271990018716,0.968494013862634,0.9944243414668696,10686,10393
,31,0.9674256799493992,0.9746835443037974,0.960698689956332,0.9676405906377632,0.9935776288605754,10686,10393
Qwen3-8B-Base,0,0.8393421884882986,0.8594878529218647,0.8165938864628821,0.8374920025591811,0.9205718751363005,10686,10393
,1,0.8861480075901328,0.9038336582196232,0.867747972551466,0.8854232972628899,0.954310731522078,10686,10393
