Models,layer,acc_mean,acc_std,f1_mean,f1_std,freq_diff_mean,freq_diff_std,cohens_h_mean,cohens_h_std,n_seeds
,20,0.9626842321943186,0.0021561975862768,0.962617205473108,0.0020194668457616,0.0810468825090223,0.0087823754602365,0.3798513926953826,0.0575374350133744,5
,24,0.9592424866200082,0.002195210596556,0.9592595720151956,0.0022226665828106,0.0822331604828502,0.0118193673027901,0.3747462559969327,0.0453959014273881,5
,27,0.9582544256895842,0.0027810400108797,0.9581872263816792,0.0028412327138161,0.0853895258129301,0.0085218613517851,0.3759559185450974,0.0331274773083471,5
,28,0.9564594483326472,0.0023389906447604,0.9565013746304012,0.0023648872898159,0.085853377066813,0.0068278573020878,0.3824718237574436,0.0214392168379475,5
,32,0.9538904899135444,0.001578665915021,0.9539348425267136,0.0017747608718382,0.0864017395222316,0.007553042316072,0.3848390634723012,0.0383098203208036,5
,35,0.9561465623713464,0.0027720543976946,0.9561666580554784,0.0026842582386192,0.0891677207224907,0.0112540141029024,0.3954552433210814,0.0373874816022679,5
Qwen2.5-3B,0,0.7862165500205845,0.0030152501439062,0.7816844116635242,0.0010063760156756,0.3117776784132421,0.01644688347884,0.7767003655960873,0.0322624541917045,5
,4,0.8914450391107451,0.0023918422600728,0.8911799262553768,0.0024771160641784,0.1986028971323957,0.0132786777866103,0.6885459142174203,0.0624115673808765,5
,8,0.9264223960477562,0.0028940985128403,0.9260773847798652,0.0031463702811525,0.1472067222920586,0.0070310898488029,0.5819528888544976,0.0511543806180242,5
,9,0.9387731576780568,0.0021411786722962,0.9386370871760968,0.0017558040817613,0.115847837274637,0.0064645141152596,0.4946611742378161,0.0598623875318803,5
,12,0.9488019761218608,0.0025176711095846,0.9488263331795024,0.002525914031458,0.0918932599910571,0.0028914696639438,0.431823203244937,0.0480457578452528,5
,16,0.9552573075339648,0.001570571463821,0.9552957704260308,0.0015906724982089,0.0851500451358716,0.0071062226249076,0.4409583583627949,0.0196389843327492,5
,18,0.9562947715109098,0.0017423087906063,0.9561564040044164,0.001885455919499,0.0858283487020273,0.010245629808096,0.4237217194535198,0.0397270579722636,5
,20,0.9569370111156856,0.0015474364707561,0.9568541300604358,0.0016682160689288,0.0786930001434223,0.007665455152623,0.4091843594359999,0.077002928415303,5
,24,0.9575627830382872,0.0021538066342946,0.9574226143167582,0.0022894643031502,0.0782893926483367,0.0069986953444509,0.3946513992008359,0.0424841105440977,5
,27,0.9542527789213668,0.0018445274304745,0.954231502016206,0.0019043688979641,0.0842409158785465,0.0090637664260389,0.4248820054215162,0.0691355434572967,5
,28,0.9530012350761632,0.0011730261881273,0.9530356774488415,0.0011958815039082,0.0780312323358446,0.0074431409333521,0.3979303814356087,0.077701058397395,5
,32,0.9508604363935776,0.0017093105066753,0.950732884496402,0.0019881499002475,0.0935262505167424,0.0108934022633688,0.4413325098652386,0.0300394095756869,5
,35,0.9472210786331824,0.0022319633278656,0.9472136373902944,0.0023178719456062,0.0898968202411183,0.0101918278320416,0.4169567956550567,0.0310339090295431,5
SmolLM3-3B-Base,0,0.7040592836558255,0.0066296278747397,0.698363082418057,0.0060562378331923,0.2637126152652048,0.024869936110738,0.5917049947267538,0.0509261387050771,5
,4,0.9450308769040756,0.0021918726233972,0.9449489539879792,0.00228473950402,0.1119298748850511,0.0099563259952354,0.5045582645112726,0.0338919844321985,5
