Models,layer,accuracy,f1_macro,chance
,28,0.7587683187880784,0.7577819119028848,0.3333333333333333
,29,0.7594269718425819,0.7581367392580848,0.3333333333333333
,30,0.760744277951589,0.7590068830609223,0.3333333333333333
,31,0.760744277951589,0.7591941279311333,0.3333333333333333
,32,0.7531697678247983,0.7517043522640557,0.3333333333333333
,33,0.7566276963609418,0.7553052862245936,0.3333333333333333
,34,0.7599209616334596,0.7581952736200429,0.3333333333333333
,35,0.7581096657335749,0.7564011976529791,0.3333333333333333
Qwen2.5-3B,0,0.6118886876337889,0.6066953073197916,0.3333333333333333
,1,0.6586530545035403,0.6554728249449271,0.3333333333333333
,2,0.6701794829573522,0.66649311392218,0.3333333333333333
,3,0.6779186563477688,0.6744943179129912,0.3333333333333333
,4,0.6877984521653219,0.6855468033268499,0.3333333333333333
,5,0.6985015643010044,0.6961500444020968,0.3333333333333333
,6,0.6998188704100116,0.6977104926582213,0.3333333333333333
,7,0.7164498600362259,0.7144201314018646,0.3333333333333333
,8,0.720566441626873,0.7185020530654462,0.3333333333333333
,9,0.7304462374444262,0.7287235489583773,0.3333333333333333
,10,0.7355507986168286,0.7336450539505607,0.3333333333333333
,11,0.7370327679894616,0.7348659395428153,0.3333333333333333
,12,0.7399967067347275,0.738842322579718,0.3333333333333333
,13,0.7423019924254899,0.7406595931413666,0.3333333333333333
,14,0.7452659311707558,0.7443918578341103,0.3333333333333333
,15,0.7483945331796477,0.74708364351644,0.3333333333333333
,16,0.7413140128437345,0.7399380600422409,0.3333333333333333
,17,0.7482298699160217,0.7471572568010879,0.3333333333333333
,18,0.7436192985344969,0.7424622287970649,0.3333333333333333
,19,0.747735880125144,0.745908250883175,0.3333333333333333
,20,0.74790054338877,0.7465499127645253,0.3333333333333333
,21,0.7516877984521653,0.7498005589888542,0.3333333333333333
,22,0.7470772270706405,0.7453593972277958,0.3333333333333333
,23,0.749217849497777,0.7478829523726708,0.3333333333333333
,24,0.7426313189527416,0.7412967267825611,0.3333333333333333
,25,0.7454305944343816,0.7442275159442858,0.3333333333333333
,26,0.7411493495801087,0.739900632447028,0.3333333333333333
,27,0.7403260332619792,0.737538497468596,0.3333333333333333
,28,0.7452659311707558,0.7434533624436236,0.3333333333333333
,29,0.7409846863164828,0.7392292925961693,0.3333333333333333
,30,0.7368681047258356,0.7356865182067939,0.3333333333333333
,31,0.7299522476535485,0.7280732752278665,0.3333333333333333
,32,0.717767166145233,0.7157295148694228,0.3333333333333333
,33,0.7200724518359954,0.7184141380266782,0.3333333333333333
,34,0.7169438498271036,0.7146247528521436,0.3333333333333333
,35,0.7031121356825293,0.7010271619090389,0.3333333333333333
SmolLM3-3B-Base,0,0.5568911575827433,0.5547431857228627,0.3333333333333333
,1,0.6545364729128932,0.6509070751511404,0.3333333333333333
,2,0.71348592129096,0.7116521166837669,0.3333333333333333
,3,0.7289642680717932,0.7267561494592405,0.3333333333333333
,4,0.7454305944343816,0.7438285692174028,0.3333333333333333
,5,0.7446072781162523,0.7435626209538885,0.3333333333333333
,6,0.7459245842252593,0.7447747386816944,0.3333333333333333
,7,0.7444426148526264,0.7437662457572368,0.3333333333333333
,8,0.756463033097316,0.7556254282938052,0.3333333333333333
